Authors;Number of factors;Factor labels
(Betan et al., 2005);8 Factors;Overwhelmed/Disorganized
;;Helpless/Inadequate
;;Positive
;;Special/Overinvolved
;;Sexualized
;;Disengaged
;;Parental/Protective Criticized/Mistreated
(Zittel Conklin & Westen, 2003);7 Factors;Positive/Satisfying
;;Hostile/Mistreated
;;Disengaged
;;Helpless/Inadequate
;;Sexualized
;;Overwhelmed/Disorganized
;;Special/Overinvolved
(Tanzilli et al., 2016);9 Factors;Helpless/Inadequate
;;Overwhelmed/Disorganized
;;Positive/Satisfying
;;Hostile/Angry
;;Criticized/Devalued
;;Special/Overinvolved
;;Parental/Protective
;;Sexualized
;;Disengaged
(Berg et al., 2019);7 Factors;Helpless/Inadequate
;;Overwhelmed/Disorganized
;;Hostile/Angry
;;Parental/Protective
;;Disengaged
;;Special/Overinvolved
;;Sexualized
